year,actor
2006,Adriana Barraza 
2002,Adrien Brody 
1990,Al Pacino 
1992,Al Pacino 
1992,Al Pacino 
2004,Alan Alda 
2006,Alan Arkin 
2012,Alan Arkin 
2000,Albert Finney 
2003,Alec Baldwin 
2015,Alicia Vikander 
2005,Amy Adams 
2008,Amy Adams 
2010,Amy Adams 
2012,Amy Adams 
2013,Amy Adams 
2007,Amy Ryan 
1990,Andy Garcia 
1993,Angela Bassett 
1999,Angelina Jolie 
2008,Angelina Jolie 
1990,Anjelica Huston 
2009,Anna Kendrick 
1993,Anna Paquin 
2008,Anne Hathaway 
2012,Anne Hathaway 
1990,Annette Bening 
1999,Annette Bening 
2004,Annette Bening 
2010,Annette Bening 
1991,Anthony Hopkins 
1993,Anthony Hopkins 
1995,Anthony Hopkins 
1997,Anthony Hopkins 
1996,Armin Mueller
1996,Barbara Hershey 
2013,Barkhad Abdi 
1991,Ben Kingsley 
2001,Ben Kingsley 
2003,Ben Kingsley 
2014,Benedict Cumberbatch 
2000,Benicio Del Toro 
2003,Benicio Del Toro 
2011,Bérénice Bejo 
1991,Bette Midler 
2003,Bill Murray 
1996,Billy Bob Thornton 
1998,Billy Bob Thornton 
1995,Brad Pitt 
2008,Brad Pitt 
2011,Brad Pitt 
2012,Bradley Cooper 
2013,Bradley Cooper 
2014,Bradley Cooper 
1996,Brenda Blethyn 
1998,Brenda Blethyn 
2015,Brie Larson 
1990,Bruce Davison 
2013,Bruce Dern 
2015,Bryan Cranston 
1997,Burt Reynolds 
2009,Carey Mulligan 
2007,Casey Affleck 
2004,Catalina Sandino Moreno 
1998,Cate Blanchett 
2004,Cate Blanchett 
2006,Cate Blanchett 
2007,Cate Blanchett 
2007,Cate Blanchett 
2013,Cate Blanchett 
2015,Cate Blanchett 
1992,Catherine Deneuve 
1999,Catherine Keener 
2005,Catherine Keener 
2002,Catherine Zeta
2003,Charlize Theron 
2005,Charlize Theron 
2015,Charlotte Rampling 
1994,Chazz Palminteri 
2013,Chiwetel Ejiofor 
1999,Chloë Sevigny 
2002,Chris Cooper 
2010,Christian Bale 
2013,Christian Bale 
2015,Christian Bale 
2009,Christoph Waltz 
2012,Christoph Waltz 
2009,Christopher Plummer 
2011,Christopher Plummer 
2002,Christopher Walken 
1992,Clint Eastwood 
2004,Clint Eastwood 
2004,Clive Owen 
2009,Colin Firth 
2010,Colin Firth 
1996,Cuba Gooding
1993,Daniel Day
2002,Daniel Day
2007,Daniel Day
2012,Daniel Day
1992,David Paymer 
2005,David Strathairn 
1993,Debra Winger 
2011,Demián Bichir 
1992,Denzel Washington 
1999,Denzel Washington 
2001,Denzel Washington 
2012,Denzel Washington 
1996,Diane Keaton 
2003,Diane Keaton 
1990,Diane Ladd 
1991,Diane Ladd 
2002,Diane Lane 
1994,Dianne Wiest 
2003,Djimon Hounsou 
2006,Djimon Hounsou 
2004,Don Cheadle 
1997,Dustin Hoffman 
1995,Ed Harris 
1998,Ed Harris 
2000,Ed Harris 
2002,Ed Harris 
2006,Eddie Murphy 
2014,Eddie Redmayne 
2015,Eddie Redmayne 
1996,Edward Norton 
1998,Edward Norton 
2014,Edward Norton 
1995,Elisabeth Shue 
2000,Ellen Burstyn 
2007,Ellen Page 
1996,Emily Watson 
1998,Emily Watson 
2014,Emma Stone 
1992,Emma Thompson 
1993,Emma Thompson 
1993,Emma Thompson 
1995,Emma Thompson 
2012,Emmanuelle Riva 
2001,Ethan Hawke 
2014,Ethan Hawke 
2005,Felicity Huffman 
2014,Felicity Jones 
1998,Fernanda Montenegro 
2006,Forest Whitaker 
1996,Frances McDormand 
2000,Frances McDormand 
2005,Frances McDormand 
2008,Frank Langella 
2009,Gabourey Sidibe 
2011,Gary Oldman 
1994,Gary Sinise 
1991,Geena Davis 
1992,Gene Hackman 
1996,Geoffrey Rush 
1998,Geoffrey Rush 
2000,Geoffrey Rush 
2010,Geoffrey Rush 
2005,George Clooney 
2007,George Clooney 
2009,George Clooney 
2011,George Clooney 
1990,Gerard Depardieu 
2011,Glenn Close 
1997,Gloria Stuart 
1990,Graham Greene 
1997,Greg Kinnear 
1998,Gwyneth Paltrow 
2010,Hailee Steinfeld 
2007,Hal Holbrook 
1999,Haley Joel Osment 
2001,Halle Berry 
1991,Harvey Keitel 
2005,Heath Ledger 
2008,Heath Ledger 
1997,Helen Hunt 
2012,Helen Hunt 
1994,Helen Mirren 
